context,slot,gold,pred,label
"i am looking for a hotel , carolina bed and breakfast .
sure , i have it right here . its a moderate priced guest house with a 4 star rating , free internet and parking . phone number is 01223247015 can i book it for you ?",hotel name,carolina bed and breakfast,,
"i am looking for a restaurant that serves vietnamese food on the south side of town , is there anything like that ?
there are no vietnamese restaurant -s on the south side but there is 1 on the west side . would that suffice ?
what about on the east side ? i would like for it to be expensive .
i am sorry but there are not any vietnamese restaurant -s on the east side of town , either .
bummer , how about indian food on the east side ? i am willing to pay for an expensive meal , if it s good !
there are 4 indian restaurant on the east side ranging from moderate -ly priced to expensive . do you have a price preference ?
expensive would be fine . can i have the address for the most expensive indian restaurant out of the 4 ?
how about the pipasha restaurant ? it is in the expensive price range and serves indian food . their address is newmarket road fen ditton .
i would also like to check on museums on the east side . can you see what you have in that area ?
i have found 4 museums . 3 of them are free and 1 costs 5 pounds . can i get you more information on any of them ?
i need information on all of them please .
what information would you like ? the phone number , address , or postcode ?
the address please
i can give you the address for only 1 , is there 1 in particular you wish to learn more about ?
give me information on the 1 closest to pipasha restaurant .
they are all in the same general area , but cambridge artworks is nice . it is located at 5 greens road , cb13ef . you can call them at 01223902168 .
cool ! is that 1 of the free ones ? gotta save my money for the grub , you know .
cambridge artworks is free .
perfect ! thank you so much for your help !",attraction name,cambridge artworks,,
"hi i am looking for a train to any where after 9:00 !
i have 2,240 departures fitting your criteria . do you have a destination ?
kings lynn , leaving on wednesday .
there are 15 trains that arrive in kings lynn on wednesday , what time would you like to get there ?
i do not care about the arrival time . thanks .
sure , the tr2831 departs cambridge at 09:11 , and arrives in kings lynn wednesday at 09:58 . shall i book it , if so for how many riders ?
for 8 riders , and please include my reference number .
booking was successful , the total fee is 78.4 gbp payable at the station . reference number is : fb2585pk .
thanks . i am also interested in some sort of entertainment in the centre .
how about vue cinema ? or the mumford theatre ?
vue cinema , what is the entrance fee and address for that location ?
the address for vue cinema is the grafton centre , east road . i apologize but i do not have information on their entrance fee .
do you happen to know if there is a nightclub in the centre ?
yes , we have 5 nightclubs in the centre of town . is there a particular 1 you are looking for ?
i do not care which 1 you recommend , but can you tell me the entrance fee and address ?
5 pounds , heidelberg gardens , lion yard ballare
thank you . that is all for now .",attraction name,any,vue cinema,
"i am looking for an expensive hotel with free parking .
we have 5 place -s that offer all of that . any preference on star rating or area ?
no , that s not important to me . but , i would prefer to stay in a guest house with free parking .
sorry , there are no guest house type expensive place -s with free parking . perhaps you would prefer a different type or price range ?
cheap would be fine as well .
sure , the allenbell is a 4 star guest house . does that sound good ?
yes . can you make a reservation for 4 nights starting wednesday ? there are 5 people in my party .
i have made your reservation . the reference number is e8npwa4b . what else can i help you with ?",hotel stars,any,4,
"i need to find somewhere to eat that is moderate -ly priced in the city s center .
there are many great options to choose from . 21 in fact ! any particular type of cuisine you are looking for ?
no , nothing in particular . can you recommend 1 and give me the address ?
i recommend yippee noodle bar which is located at 40428 king street city centre . is there anything else i can do for you ?
great i also am looking for a multiple sports attraction in the centre of town too .
i am sorry , there actually are not any multiple sports attractions in the centre . there is 1 located in the east , though .",attraction type,multiple sports,sports,
"what s your favorite college to visit in cambridge ?
i like christ s college in the center of town , but there are many others throughout the city . what part of the city did you want to visit ?
i think i would like to visit that location , it seems nice . could i get the phone number and the area ?
the area is centre and the phone number is 01223334900 . is there anything else i can help you with ?
actually , i am hungry . can you find me a restaurant that serves north american food ? something not super expensive , maybe in a moderate price range ?
i am sorry , there s no restaurant serving specifically north american or american food in my database , is there another type of food you would consider ?
how about modern european food ?
there are 3 modern european restaurant -s 2 in the center and 1 in the south . do you have a preference ?
i would prefer the 1 on the centre , could i have the phone number and postcode please ?
de luca cucina and bar s phone number is 01223356666 . postcode is cb21aw .
could you help me get a taxi to get from the college to the restaurant ?
what time would you like to leave the college ? i can book you a taxi to take you to the restaurant if you would like .
i would like to leave by 13:00 .",taxi departure,christ college,,
"i am looking for a place in cambridge . it does not need to include internet and should be a hotel .
i was not able to find a hotel type with no internet , but there are hotel -s with internet .
okay , that would be fine , as long as it has free parking .",hotel internet,no,,
"hi there . i would like to find a place to dine in the city centre , preferable with sri lankan food . do you have any recommendations ?
sorry , i do not have any restaurant -s with sri lankan food in the centre . would you like to try another type of food ?
could you try again ? moderate -ly priced , perhaps ?
sorry , there was nothing found . do you want to try a different kind of food ?
how about modern european food ?
there are 2 options for modern european food in centre in the moderate price range . may i suggest riverside brasserie ?
sure ! could you tell me the address including the postcode and phone number please ?
sure , they are located at the doubletree by hilton cambridge granta place mill lane in postcode cb21rt . their phone number is 01223259988 . can i help with anything else today ?",restaurant food,modern european,sri lankan,
"yes , can you tell me information on cambridge lodgings ? we are looking for free wifi and a nice guest house .
sure . what area and price range are you looking for ?
i do not really care about area or price range , the most important thing for me is free wifi in a guest house that has free parking .
i have got over 20 guest houses that will work with those requirement -s . would you like me to book a moderate -ly priced 4 star ?
as long as it has free wifi and parking then yes .
i would recommend the acorn guest house on the north side of town . it has 4 stars . should i book this ?
yes . please book it for 8 people for 5 nights starting from sunday .
ok . you are all set for the acorn guest house on sunday . the reference number is rlsl7bti . can i help you with anything else ?
can i get a train from leicester to cambridge ? should be on that same sunday and i would need it to arrive by 20:30 .
there are several trains you can choose from . train tr1079 leaves at 09:09 and arrives at 10:54 . would you like to book it or try another ?
you can book that 1 . i need the booking for 8 people . could i get a reference number ?",train destination,cambridge,acorn guest house,
"i am looking for a brazliian restaurant in the centre .
sorry , i could not find any food of that type .
there are no brazilian restaurant -s any where in cambridge ?
no , their are not any . would you like to pick a different type of food ?
yes , what about british food please .
what price range are you comfortable with ?
something in the moderate price range would be good .
do you have a preference as to what area of town you dine in ?
yes , the centre is preferable .
how about the copper kettle ? it s located in the centre and moderate price range .
sounds good ! please book a table for 6 people at 13:00 on monday .
your table has been booked . your reference number is s59ihpui . is there anything else i can help you with today ?",restaurant food,british,brazilian,
"can you find a place to eat in the cheap price range ?
there are 22 cheap restaurant -s in town . do you have a food preference or an area of town you want to eat in ?
i am craving some international food . can you point me in the right direction ? i am looking to eat somewhere in the east area of town .
i have found 1 restaurant matching your criteria , the missing sock . would you like to try it ?
yes . please book me a table for friday at 13:00 for 6 people .
i have booked your table . the reference number is : rqs2gvaq .
thank you ! could you also find an architectural attraction near the restaurant ?
unfortunately , i do not happen to see any architecture attractions in that area of town . can i find something else for you ?
are there any multiple sports attractions in the same area ?
yes , there is the cherry hinton village centre . would you like more information about it ?
give me the address , please .
the address is colville road , cherry hinton . can i help with anything else ?
can you book me a taxi to get from cherry hinton to the restaurant ?
i can take care of that . do you have a time you would like to leave ? i imagine you would like to arrive on time for your reservation",attraction type,multiple sports,architecture,
"yes , can you help me with my hotel plans ?
yes , i can certainly help you with that . is there an area of town you prefer to stay in ? and do you have a price range in mind ?
i want to stay in cambridge and i need a cheap hotel .
i have about 10 options of cheap -er rooms . most are guest houses and 1 is a hotel . do you prefer 1 over the other ?
i prefer a hotel . preferably 1 with free parking .
is there a particular side of town you prefer ?
i would like to be in the center .
the hotel is located in the west . would you like a guest house instead ?
after rethinking some things , i actually would like an expensive hotel in the centre . i would still like free parking as well . are any available ?
i have 2 . would you prefer 3 or 4 stars ?
either is fine .
ok , i will book you in the university arms hotel . how many people are staying in the hotel and for how many nights ?
do they have internet and what is there address ?
yes , they have free wifi . would you like to book a room now ?",hotel internet,yes,,
"i am looking for information in cambridge .
what can i help you with ?
i would like info on train travel .
what day would you like to travel ? where are you departing and arriving to ?
i would like to leave on saturday . any train is fine . i'll just need the departure time and price .
where are you leaving from and where are you going to ?
the train should arrive by 11:45 in cambridge . i am leaving on saturday from birmingham new street on saturday . also need place -s to go in the east side of town .
i have a train departing birmingham new street on saturday at 22:40 and arriving in cambridge at 1:23 . tickets are 60.08 pounds , would you like to book this train ?
yes , please book me .
how many tickets will you be needing ?
just 1 for myself , please , and thank you .",train destination,,cambridge,
"i am looking for a cheap guest house to stay in for my trip to cambridge .
i have 9 entries matching your request . do you have a preference for area ?
preferably in the west side of town . i would also like something 4 star rated if possible .
there are 7 guest houses that meet your criteria . might i recommend alexander bed and breakfast ?
does it have a 4 star rating and internet ?
finches bed and breakfast is located in the west . it is an inexpensive 4 star guest house with internet and parking . would you like me to book a room for you ?
that s all the info i needed can you find me a concerthall in the south ?",hotel name,alexander bed and breakfast,finches bed and breakfast,
"i am looking for a train that departs from peterborough and goes to cambridge .
i have many trains available . what day would you like to leave ?
we will be leaving on sunday afternoon .
there are still many trains to pick from , can you narrow down a departure and arrival time frame ?
yes , it should leave after 20:15 and leave on monday , not sunday . please give me a price , travel time , and arrival time for any train .
i have 1 leaving at 20:19 and arriving at 21:09 . it is 13.20 pounds . would you like me to book that for you .
yes please . what is the travel time ? i'll also need a hotel in the expensive price range . can you help me with that as well ?
travel time is 50 minutes . i found 5 hotel -s you may like . do you have a star rating request or an area you prefer ?
yes , i would like a 2 star rating and i'll need it to be in the east side of town .
i found 1 hotel that matches your criteria , it s the express by holiday inn cambridge . would you like to book there ?
yes , i would like to book it for 3 people starting that same day for 4 nights .",train day,monday,sunday,
"hi , i need a train on sunday leaving peterborough .
i have 38 trains leaving peterborough on sunday . where are you headed ?
i am hoping to arrive in cambridge by 12:30 .
i have 13 trains meeting your criteria . the first leaves at 05:19 and leave every 30 minutes after . can i book 1 of them for you ?
what is the 1 with the shortest travel time ?
all the trains take exactly 50 minutes . what time would you like to depart ?
hm , i'll take any train that will let me arrive by or before 12:30 .
booking was successful . departs at 11:19 and arrives at 12:09 , that will be 13.2 gbp payable at the station , your reference number is qs1ajel1 . anything else i can help you with ?
i need a hotel , 1 with free parking .
there are a lot of possibilities here but none indicate free parking , just whether they have parking or not . could you list place -s with free parking ?
i need an expensive hotel that include -s free parking .
express by holiday inn cambridge is an expensive hotel located in the east , and it include -s parking . would you like me to book a stay there for you ?
i want to book this hotel for the same group of people and 3 nights starting from sunday . i'll need a reference number please .
your reservation is confirmed and the reference number is ##",hotel type,hotel,,
"hi , i would like to find a place to stay that include -s free wi fi .
i have quite a few place -s that offer wifi , is there is a certain price range you are looking for ?
something cheap would be good .
i have about 10 different place -s . do you have a preference on the area of town ?
no not really . but i would prefer a hotel and like both free wifi and parking if possible .
the cambridge belfry is a hotel in the west that is cheap and has both free internet and wifi . would you like to book this ?
that s fine . i'll need it for 3 nights starting on sunday .
unfortunately , that day does not work . can we try booking another day or a shorter stay , perhaps ?",hotel book people,,3,
"i need to find out if there s a train going to stansted airport that leaves after 12:30 .
we have a train leaving on friday by 12:40 from cambridge to stansted airport but we need to know your departure point and date of departure to serve you better
yes i will be leaving on tuesday .
when would you like to arrive by ?
tuesday would be ideal for me .
the best fit for you from the search list is the 12:40 train leaving cambridge on tuesday to arrive stansted airport by 13:03 .
that works , may i please have the reference number ?
actually , it will arrive by 13:08 . does that work for you ?",train departure,cambridge,,
"please help me find a guest house or hotel that has free parking . i prefer a guest house though .
there are many . is there a particular area you prefer ?
no , but i would like it to be moderate -ly priced .
they are many here . we can narrow them down by stating how many stars you want .
that could be any where . book for me for 3 people and 4 nightsstarting from sunday .
the acorn guest house is a good option for you .
okay sounds good can you make a booking for 3 people and 4 nights starting from sunday .
great ! i booked that room for you . here is your reference number rkbqj4lx .
i have got another request i need assistance with please . i am looking to stansted airport via train and need help booking it .
sure , do you know what day you are traveling ?
i will travel on thursday .
where will you be departing from ?
departing from cambridge .
there are 19 trains that meet your requirement -s . do you want to narrow it down by departure time or arrival time ?",hotel stars,,any,
"i am looking to plan a trip i am looking to book some tickets at a place called abbey pool and astroturf pitch .
abbey pool and astroturf swimming pool east 12239020888 is free to get in there is not tickets for this
what is the address ?
the address is pool way , whitehill road , off newmarket road .
alright thanks for that . can you help me find a train departing from cambridge on monday ?
sure , there are 202 entries . where would your destination be ?
sure i want to go to london kings cross and would like to arrive by 19:45 .
there is a train that arrives at 17:51 the closest before that is a train that arrives at 15:51 . which 1 would you like ?
i would like the 17:51 train please .
would you like me to go ahead and book a ticket for you ?
yes , please . could you give me the total travel time and train id for my records ?
alright , i have you booked on the tr7786 . reference number is : wa4bz1mr . the duration of the trip will be 51 minutes . anything else ?
what is my departure time ?
your departure time is 17:00 .",train arrive by,17:51,19:45,
"i need a train leaving after 10:00 .
what is your destination ?
i need to leave cambridge after 10:00 and go to norwich on monday .
i have a train that leaves at 10:36 and every hour on the :36 with the last 1 being at 23:36 . which 1 would you like to book ?
the first 1 is fine . i just need 1 ticket , please .
you are all set . the train id is tr9202 and it is 17.60 pounds . the reference number is fptnvlxh .
i would also like some where fun to go in the south of town .
i would be happy to help with that ! what sort of activity are you interested in ? there is a variety in that area including , parks , night clubs , and theatre .
i would like 1 in the type of entertainment please
there are 2 entertainment options in the south . i recommend nusha .
could you give me more info on that place then ?",train leave at,10:36,10:00,
