context,slot,value,label
"hi , i am starving and would like to find a moderate -ly priced restaurant in the centre please
great , i have 21 options for you !
that s a lot of options , can you narrow them down for me by type ?
do you have a type of food in mind or do you want a recommendation ?
i do not have a type in mind so i would love to get your recommendation !
cotto is my all time favourite . it serves british food . can i reserve for you ?
yes , reserve for 1 at 17:00 . what is the address and phone number of cotto ? also , can you find a guest house in the same area that has 4 stars for 2 nights ?",hotel area,centre,
"i am looking for a train that is going to birmingham new street and leaves after 17:15 .
there s a train on that route every day departing at 18:01 that ought to work for you . do you know what day you will be travelling ?
i will be traveling on friday .
where will your departure site be ?
i will be leaving from cambridge . i will need 4 seats .
great i booked you 4 seats on that train and your reference number is hi8ojsim .
i also need to get a place to stay that is in the moderate price range and have 3 stars .
sure , there are a few guest houses available . which part of town would you like to stay in ?
west part of town . thanks",hotel area,west,
"i am looking for information in cambridge
great ! would you be interested in hearing about some attractions in the area ?
i will not have much time for attractions , but i could really use some help finding cheap transportation . can you tell me about trains out of cambridge ?
where would you be going to ? and what day ?
i want to go to stevenage on sunday .
there are 10 trains departing cambridge to stevenage on sunday . the first 1 leaves at 05:21 . they run every 2 hour -s .
i need a train leaving anytime after 10:00 and i need to book it for 5 people , please . whatever you find after 10:00 is fine .
your booking for 5 tickets on the tr8464 train was successful . the total fee is 51.2 gbp payable at the station . your reference number is : 9eo2b1ac . is that all today
actually , i also need a 2 star guest house with free wifi
what area would you like to be in ?
i do not know the city , so i do not really care about the location within town . can you recommend an area ?
we have quite a few , may i ask when were you planning your stay ?
free wifi , 2 star rating . i need it booked for 4 for 3 nights starting thurs . i also need the reference # too please
i am not seeing any 2 star guest houses , something a little better perhaps a 3 or 4 star ?
i guess a 4 star guest house would be fine .
i need to know what area of the city you would prefer to stay in ? centre may garner the best results .
yes . i would like a 3 or 4 star in the centre . it may eliminate my need for additional transportation .
i am not finding anything i am so sorry , something else perhaps ?
the area does not really matter , so i would be happy to stay somewhere else .",hotel area,any,
"i am looking for a place to stay that include -s free parking and free wifi .
i can certainly help you with that . what area would you like to stay in and what price range did you have in mind ?
actually i want a guest house , specifically
sure , i can help you with that . what part of town were you looking for ?
any part of town just a guest house with free parking and free wifi .",hotel area,any,
"i would like to find a moderate -ly priced guest house to stay at in cambridge .
a and b guest house is in the moderate price range .
maybe , if possible , i would like a guest house that is also 4 star in the east in addition to being moderate .
i apologize , but there are no guest houses in cambridge that are both 4 star and at the east end of cambridge .
do you have any moderate priced guest houses that are 4 star any where else ?",hotel area,any,
"i am looking for a japanese restaurant in the north of the centre .
there are no matching options for japanese restaurant -s in the north , can i lookup something else ?
sure , can you try asian oriental ?
i have 1 that is called saigon city . it s more expensive and located in the north . can i make a reservation for you ?
can i get the address and price range ?
the address is 169 high street chesterton chesterton and the price range is fairly expensive . would you like to make reservations ?
i am looking for a guest house in the north to stay at , what is available there ?",hotel area,north,
"hi i am looking for a 4 star guest house . can you help me ?
we found 5 guest houses for you , but i need to know your preferred area .
i do not really care about the area , but i would like it to have free parking .",hotel area,any,
"please help me find somewhere to stay .
absolutely ! what type of hotel would you like to stay in and what is your price range ?
i would like to stay in a guest house type of hotel that is in the moderate price range . also , it should have free wifi .
we have 14 guest houses around town that fit your criteria . are you planning on staying in a specific area of town ?
i do not have an area preference .",hotel area,any,
hello . i am looking for a hotel on the north end of town with a 4 star rating .,hotel area,north,
"hi ! what can you tell me about the attractions on the east side ?
what type of attraction are you looking for ?
i am not sure . can you tell me about my options ?
you have boat , entertainment , museum , mutliple sports , park and swimmingpool to choose from .
can you give me an address to a museum you recommend ?
cambridge artworks is located at 5 greens road
i also need a 4 star expensive place to stay .
i have 1 in the west and 1 in the centre . do you have a preference ?
i want it very close to the museum .",hotel area,east,
"i am planning a trip in cambridge
great ! what were you interested in doing while you are here ?
i am looking for a train . i need it to bring me to cambridge on friday .
there are 202 trains into cambridge on friday . where are you traveling from ?
i want to leave after 18:45 and am heading to norwich .
there is a train leaving cambridge for norwich that departs at 19:36 . would this suffice ?
yes can i please get a booking for 1 person and a reference number please ?
you are all set ! your reference number for your booking is 1z40l862 . is there anything else i can help you with ?
i also need a hotel in the south area .
there is 1 expensive hotel and 3 less costly guest houses in the south . do you have a preference ?
i want a 4 star moderate -ly priced guest house .",hotel stars,4,
"i need a place to stay ! can you help ?
we have many guest houses and hotel -s in town . are you looking for something specific ?
the hotel should have a star of 4 and should be in the cheap price range . the hotel should be in the east and should include free wifi",hotel stars,4,
"i am looking for a hotel with free wifi and parking .
there are 29 hotel -s that meet that criteria . are you looking for a hotel in a specific part of town ?
i do not but i would like for it to be 4 stars .",hotel stars,4,
"hello , could you help me with finding a restaurant called the lucky star ?
the lucky star is located at leisure park clifton way cherry hinton . would you like to book there ?
yes . please reserve table for 5 at monday on 11:15 and get me the reference number
all booked ! your reference number is s0fc5mn8 .
i also need a moderate priced hotel with free parking to stay at .
there are 14 total hotel -s in cambridge that meet these specification -s . is there a particular part of town you are interested in staying in ?
no particular town , but a guest house with free wifi is preferable .
there are 12 such guest houses . do you have a preference on star rating ?
i do not .",hotel stars,any,
"could you find a moderate priced place to stay for me ? i do need free wifi .
absolutely . we have many guest houses and hotel -s with free wifi . any other preferences ?
i would prefer something with 2 stars , and i need free parking as well .",hotel stars,2,
"i need somewhere to stay .
did you have a price range in mind , or a general location ? is it a hotel you are looking to stay in ?
yes , a hotel . something 2 stars .",hotel stars,2,
