domain,exclude
Transportation worker talks to passenger in order to check their ticket or pass.,1
Tourist talks to local business owner in order to learn about cultural events.,1
Club promoter talks to attendee in order to sell tickets to an event.,1
Tourist talks to local in order to receive recommendations for restaurants.,1
Passenger talks to train conductor in order to receive assistance boarding or finding their seat,1
Tourist talks to concierge in order to book activities or tours,1
Customer talks to hotel front desk in order to book room,1
Hostess talks to diners in order to seat them at a restaurant,1
Hotel guest talks to concierge in order to book a restaurant reservation.,1
Tour operator talks to travel agent in order to market tours effectively.,1
Travel agent talks to hotel employee in order to reserve a room,1
Travel blogger talks to tour guide in order to write about a travel experience,1
Tour guide talks to group in order to provide information about a site.,1
Passenger talks to ticket agent in order to book a seat on a train.,1
Travel blogger talks to airport staff in order to provide travel tips and recommendations for tourists.,1
Travel journalist talks to local community members in order to provide travel recommendations and tips.,1
Ticket vendor talks to customer in order to sell admission tickets.,1
Tour guide talks to restaurant to make a reservation,1
Customer talks to travel agent in order to book a vacation.,1
Concierge talks to guest in order to provide recommendations for local attractions.,1
Tourist talks to travel blogger in order to get recommendations for restaurants.,1
Tourist talks to ticket agent in order to purchase admission to an attraction.,1
Passenger talks to taxi driver in order to give directions,1
Travel blogger talks to local in order to recommend hidden gems,1
Driver talks to passenger in order to navigate.,1
Tourist talks to tour guide in order to learn about a city's history.,1
Customer talks to hotel clerk in order to check in,1
Customer talks to restaurant hostess in order to request a table reservation,1
Tour operator talks to hotel staff in order to arrange accommodations.,1
Tour guide talks to business owner in order to schedule a group tour,1
Passenger talks to train conductor in order to ask about arrival times.,1
Tourist talks to transportation services in order to arrange for travel.,1
Travel blogger talks to tourism board representative in order to coordinate travel arrangements,1
Ticket agent talks to passenger in order to issue a boarding pass,1
Homeowner talks to plumber in order to fix a leaky faucet.,0
Patient talks to pharmacist in order to fill a prescription.,0
Customer talks to representative in order to ask for a refund.,0
Candidate talks to campaign manager in order to plan their campaign.,0
Pediatrician talks to parent in order to provide information about child development,0
Customer talks to sales representative in order to learn about a product.,0
Podiatrist talks to patient in order to diagnose foot conditions.,0
Stage actor talks to fellow actor in order to rehearse their lines,0
Parent talks to pediatric dentist in order to receive dental care for their child,0
Court reporter talks to attorney in order to transcribe a trial.,0
Parent talks to college admissions counselor in order to learn about a prospective school.,0
Traveler talks to customs officer in order to pass through security,0
Social media manager talks to coworker in order to plan a social media campaign,0
Politician talks to media in order to give a press conference.,0
Boxer talks to coach in order to strategize for a fight.,0
Contractor talks to client to provide an estimate for a job,0
Expert talks to novice in order to teach a new skill.,0
Parent talks to school principal in order to volunteer as a classroom assistant,0
Homeowner talks to repairman in order to fix a broken household item.,0
Business owner talks to accountant in order to manage finances.,0
User talks to support agent in order to solve a software issue,0
Host talks to DJ in order to create a playlist for a party.,0
Patient talks to surgeon in order to schedule a procedure,0
Motivational speaker talks to audience in order to inspire them,0
Employee talks to payroll manager in order to resolve payroll issues,0
Feng shui expert talks to client in order to create a harmonious living space,0
Shopper talks to personal banker in order to open a checking account.,0
Utility company representative talks to customer in order to verify account information.,0
Public speaking coach talks to client in order to help them prepare for a speaking engagement,0
Driver talks to parking enforcement officer in order to dispute a parking ticket.,0
Personal assistant talks to employer in order to receive task assignments.,0
School counselor talks to student in order to provide emotional support,0
Actor talks to audience member in order to sign autographs,0
Chef talks to waiter in order to finalize menu selections,0
Young adult talks to parents in order to ask for financial support,0
Science fiction author talks to fan in order to discuss favorite books and stories.,0
Magazine editor talks to writer in order to edit their piece.,0
Entertainer talks to audience in order to perform and entertain them,0
Employee talks to manager in order to request a change in work schedule.,0
Coach talks to recruiter in order to find new players for a team.,0
Screenwriter talks to director in order to collaborate on screenplay development and production,0
Employee talks to coworker in order to resolve a conflict,0
Sales manager talks to sales team member in order to track sales progress,0
Customer service representative talks to supplier in order to track an order,0
Scout leader talks to scouts in order to provide instruction on camping and survival skills,0
Scientist talks to lab technician to request tests,0
Accountant talks to client in order to provide financial planning and advice,0
Community organizer talks to members of the community in order to mobilize action,0
Employee talks to HR manager in order to request time off.,0
Driver talks to gas station attendant in order to pay for gasoline.,0
Reiki practitioner talks to client in order to provide energy healing.,0
Busboy talks to waiter in order to communicate the restaurant's needs for clean dishes and table setup,0
Driver talks to DMV worker in order to renew their driver's license.,0
Reader talks to librarian in order to check out a book.,0
Engineering manager talks to engineer in order to discuss project progress,0
Writer talks to editor in order to revise and refine their work,0
Contractor talks to architect to review building plans,0
Chef talks to server in order to provide instructions for a customer's meal,0
Musician talks to audience member in order to promote a show,0
Construction worker talks to supervisor in order to review building plans,0
Voter talks to poll worker in order to cast their ballot.,0
Job seeker talks to career counselor in order to find their ideal job.,0
Employee talks to boss in order to request a shift change,0
Lawyer talks to opposing counsel in order to negotiate a settlement,0
Volunteer talks to organizer in order to sign up for community service.,0
Customer talks to customer service representative in order to address a complaint.,0
Garden center employee talks to customer in order to recommend plants,0
Customer talks to help desk representative about an internet issue.,0
Customer talks to call center representative in order to request a service or product,0
Coworker talks to vendor in order to order office supplies.,0
Book editor talks to author in order to provide suggestions on a manuscript,0
Web developer talks to client in order to create a website,0
Advocate talks to politician in order to push for social change.,0
Interpreter talks to foreign diplomat in order to facilitate communication.,0
Event attendee talks to other attendees in order to network,0
Digital marketer talks to client in order to develop a digital marketing plan,0
Employee talks to a retirement consultant about retirement opportunities.,0
