M,experiment,i,JGA,tPP,base,pm,lora,lora_alpha,DS,Y,neg
t,SerendipitousOrson,1,0.169,,meta-llama/Llama-2-chat-hf,13,16,16,100000,0.2,0.5
t,TimelessNien,4,0.169,,meta-llama/Llama-2-chat-hf,13,64,128,100000,0.2,0.5
h,ThunderousVentress,2,0.162,,meta-llama/Llama-2-chat-hf,13,1,1,100000,0.2,0.5
t,ThunderousVentress,2,0.162,,meta-llama/Llama-2-chat-hf,13,1,1,100000,0.2,0.5
t,TimelessNien,6,0.151,,meta-llama/Llama-2-chat-hf,13,64,128,100000,0.2,0.5
t,AstralKiAdi,6,0.149,,meta-llama/Llama-2-chat-hf,13,32,64,100000,0.2,0.5
t,AstralKiAdi,5,0.147,,meta-llama/Llama-2-chat-hf,13,32,64,100000,0.2,0.5
t,BewitchingHondo,1,0.142,,meta-llama/Llama-2-chat-hf,13,32,64,100000,0.2,0.5
h,ThunderousVentress,4,0.142,,meta-llama/Llama-2-chat-hf,13,1,1,100000,0.2,0.5
t,TimelessNien,5,0.142,,meta-llama/Llama-2-chat-hf,13,64,128,100000,0.2,0.5
t,ThunderousVentress,4,0.142,,meta-llama/Llama-2-chat-hf,13,1,1,100000,0.2,0.5
h,AstralKit,1,0.141,,meta-llama/Llama-2-chat-hf,13,8,16,100000,0.2,0.5
t,FearlessLehon,4,0.134,,meta-llama/Llama-2-chat-hf,7b,4,16,100000,0.2,0.5
h,DazzlingChirrut,3,0.134,,meta-llama/Llama-2-chat-hf,13,8,16,100000,0.2,0.5
h,LivelyCount,3,0.131,,meta-llama/Llama-2-chat-hf,13,1,2,100000,0.2,0.5
t,TimelessNien,3,0.131,,meta-llama/Llama-2-chat-hf,13,64,128,100000,0.2,0.5
t,AstralKiAdi,4,0.129,,meta-llama/Llama-2-chat-hf,13,32,64,100000,0.2,0.5
h,SpectralDroopy,1,0.127,,meta-llama/Llama-2-chat-hf,13,1,16,100000,0.2,0.5
t,MythicalLehon,1,0.125,5.702156069609647,meta-llama/Llama-2-chat-hf,13,32,16,100000,0.2,0.5
h,DashingQuarren,1,0.124,,meta-llama/Llama-2-chat-hf,13,1,4,100000,0.2,0.5
t,SerendipitousOrson,2,0.121,,meta-llama/Llama-2-chat-hf,13,16,16,100000,0.2,0.5
h,DazzlingChirrut,2,0.121,,meta-llama/Llama-2-chat-hf,13,8,16,100000,0.2,0.5
h,ThunderousVentress,3,0.121,,meta-llama/Llama-2-chat-hf,13,1,1,100000,0.2,0.5
t,ThunderousVentress,3,0.121,,meta-llama/Llama-2-chat-hf,13,1,1,100000,0.2,0.5
h,SpectralDroopy,2,0.120,,meta-llama/Llama-2-chat-hf,13,1,16,100000,0.2,0.5
h,LivelyCount,5,0.119,,meta-llama/Llama-2-chat-hf,13,1,2,100000,0.2,0.5
h,DazzlingChirrut,1,0.117,,meta-llama/Llama-2-chat-hf,13,8,16,100000,0.2,0.5
h,ThunderousVentress,1,0.117,,meta-llama/Llama-2-chat-hf,13,1,1,100000,0.2,0.5
h,LivelyCount,6,0.117,,meta-llama/Llama-2-chat-hf,13,1,2,100000,0.2,0.5
t,ThunderousVentress,1,0.117,,meta-llama/Llama-2-chat-hf,13,1,1,100000,0.2,0.5
h,LivelyCount,4,0.116,,meta-llama/Llama-2-chat-hf,13,1,2,100000,0.2,0.5
t,ResilientKanan,2,0.115,,meta-llama/Llama-2-chat-hf,7b,32,16,100000,0.2,0.5
t,BewitchingHondo,2,0.115,,meta-llama/Llama-2-chat-hf,13,32,64,100000,0.2,0.5
t,EmboldenedCody,1,0.114,,meta-llama/Llama-2-chat-hf,7b,8,16,100000,0.2,0.5
h,EmboldenedHapes,3,0.114,,meta-llama/Llama-2-chat-hf,13,2,16,100000,0.2,0.5
t,BewitchingHondo,3,0.113,,meta-llama/Llama-2-chat-hf,13,32,64,100000,0.2,0.5
t,BewitchingHondo,4,0.113,,meta-llama/Llama-2-chat-hf,13,32,64,100000,0.2,0.5
h,ThunderousVentress,5,0.110,,meta-llama/Llama-2-chat-hf,13,1,1,100000,0.2,0.5
h,LivelyCount,2,0.110,,meta-llama/Llama-2-chat-hf,13,1,2,100000,0.2,0.5
t,ThunderousVentress,5,0.110,,meta-llama/Llama-2-chat-hf,13,1,1,100000,0.2,0.5
t,DashingBaze,1,0.108,,meta-llama/Llama-2-chat-hf,7b,8,16,100000,0.2,0.5
t,SupernovaTeth,2,0.107,,meta-llama/Llama-2-chat-hf,7b,32,64,100000,0.2,0.5
t,ResilientKanan,4,0.107,,meta-llama/Llama-2-chat-hf,7b,32,16,100000,0.2,0.5
t,AudaciousWatto,4,0.107,,meta-llama/Llama-2-chat-hf,7b,1,16,100000,0.2,0.5
h,ThunderousVentress,6,0.107,,meta-llama/Llama-2-chat-hf,13,1,1,100000,0.2,0.5
t,IconicChewbacca,6,0.107,,meta-llama/Llama-2-chat-hf,13,32,16,100000,0.2,0.5
t,ThunderousVentress,6,0.107,,meta-llama/Llama-2-chat-hf,13,1,1,100000,0.2,0.5
t,SerendipitousOrson,3,0.105,,meta-llama/Llama-2-chat-hf,13,16,16,100000,0.2,0.5
h,DazzlingChirrut,4,0.105,,meta-llama/Llama-2-chat-hf,13,8,16,100000,0.2,0.5
