text,slot,value,pred,error
"""i will leave from the attraction to the hotel .""","""taxi departure""","""corpus christi""","{""attraction"": ""college type"", ""college type"": ""?"", ""location"": ""town"", ""location corpus christi"": ""Centre"", ""place to go"": ""Corpus christi"", ""entrance fee corpus christi"": ""?"", ""postcode corpus christi"": ""?"", ""address"": ""king s parade"", ""entrance fee"": ""2 pounds"", ""postcode"": ""cb21rh"", ""train ticket"": ""?"", ""departure time"": ""?"", ""train ticket ready"": ""True"", ""accommodation type"": ""Guest house"", ""guest house amenities"": ""Free wifi"", ""guest house location"": ""North"", ""train needed"": ""False"", ""search area"": ""?"", ""search price range"": ""?"", ""cheap accommodation"": ""?"", ""search different area"": ""True"", ""search different price range"": ""True"", ""cheap"": ""2"", ""other preferences"": ""No"", ""star rating"": ""No"", ""recommend 1"": ""?"", ""book room worth house"": ""True"", ""recommend hotel"": ""Worth house"", ""booking date"": ""?"", ""booking day"": ""Saturday"", ""booking nights"": ""3"", ""booking people"": ""5"", ""additional services"": ""taxi"", ""booking status"": ""successful"", ""reference number"": ""dn5r06rn"", ""commute location"": ""2 place -s"", ""taxi cost"": ""?"", ""transportation needed"": ""taxi"", ""departure location"": ""Attraction to Hotel"", ""departure point"": ""Attraction"", ""destination"": ""Hotel""}",coreference
"""no , thats ok . i actually need to book a taxi to leave the ballare by 21:00 .""","""taxi departure""","""ballare""","{""looking to go to nightclub"": ""True"", ""need to find nightclub"": ""True"", ""nightclub location"": ""?"", ""ballare location"": ""centre of the city"", ""ballare rating"": ""good"", ""nightclubs"": ""few"", ""ballare postcode"": ""?"", ""first part"": ""cb"", ""postcode"": ""cb23na"", ""second part"": ""23"", ""third part"": ""na"", ""restaurant location"": ""west"", ""restaurant price"": ""?"", ""restaurant type"": ""cheap"", ""italian restaurant"": ""La Margherita"", ""restaurants near each other"": ""Yes"", ""vietnamese restaurant"": ""Thanh Binh"", ""italian food"": ""la margherita"", ""north american options"": ""False"", ""vietnamese food"": ""thanh binh"", ""different area"": ""?"", ""different price range"": ""?"", ""try different area"": ""Italian food"", ""try different price range"": ""True"", ""location"": ""west"", ""price range"": ""cheap"", ""reservation"": ""True"", ""address"": ""15 magdalene street city centre"", ""postal code"": ""cb30af"", ""reservation day"": ""Friday"", ""reservation time"": ""9"", ""booking time"": ""9 pm"", ""booking number"": ""2"", ""open time"": ""10"", ""try another time"": ""False"", ""book taxi"": ""?"", ""leave time"": ""21:00"", ""need taxi"": ""True""}",missing
"""i also need a taxi to get from college to the restaurant . i need to arrive by 14:45 .""","""taxi departure""","""hughes hall""","{""good jamaican food cambridge"": ""?"", ""food types cambridge"": ""?"", ""jamaican food cambridge"": ""False"", ""food types"": ""moderate price range, centre of town"", ""location"": ""centre of town"", ""price range"": ""moderate price range"", ""food type"": ""Lebanese"", ""try lebanese"": ""True"", ""additional info"": ""table for 1 person at 14:45 on saturday"", ""ali baba listings"": ""1"", ""num people"": ""1"", ""reservation day"": ""saturday"", ""reservation time"": ""14:45"", ""reservation reference number"": ""xomi0tbu"", ""reservations made"": ""True"", ""interested colleges"": ""True"", ""nearby colleges"": ""?"", ""reference number"": ""xomi0tbu"", ""colleges nearby"": ""13"", ""particular college in mind"": ""?"", ""college types"": ""?"", ""particular college"": ""True"", ""hughes hall free entrance"": ""Yes"", ""hughes hall location"": ""Centre of town"", ""recommended college"": ""Hughes hall"", ""hughes hall address"": ""?"", ""address"": ""wollaston road"", ""hall location"": ""wollaston road"", ""hall name"": ""hughes hall"", ""arrival time"": ""14:45"", ""destination"": ""College"", ""need taxi"": ""True""}",coreference
"""i'll want to leave the guest house to arrive at our lunch reservation by 11:30 . please let me know the car type of the taxi and a contact number .""","""taxi departure""","""alexander bed and breakfast""","{""location"": ""center of town"", ""nearby restaurants"": ""?"", ""price range"": ""expensive"", ""restaurant type"": ""local"", ""food style"": ""None"", ""total restaurant -s"": ""21"", ""reference number needed"": ""?"", ""reservation date"": ""Saturday"", ""reservation needed"": ""1"", ""reservation time"": ""11:30"", ""further preference"": ""Guest house with free wifi"", ""accommodation type"": ""Guest house"", ""guest house amenities"": ""Free wifi"", ""booking location"": ""yippee noodle bar"", ""table reservation duration"": ""15 minutes"", ""table reservation reference number"": ""k1103xe1"", ""guest house parking"": ""?"", ""guest house wifi"": ""?"", ""alexander acceptable to book"": ""?"", ""alexander location"": ""centre part of town"", ""alexander price range"": ""cheap"", ""alexander rating"": ""4 star"", ""guest house with free parking and wifi nearby"": ""Alexander bed and breakfast"", ""acceptable guest house"": ""Alexander bed and breakfast"", ""hotel options"": ""?"", ""amenities"": ""free wifi, free parking"", ""hotel -s with same criteria"": ""university arms hotel"", ""star rating"": ""4 star"", ""arrival date"": ""saturday"", ""hotel choice"": ""alexander bed and breakfast"", ""room occupancy"": ""1 person"", ""stay duration"": ""4 nights"", ""alexander vacancies"": ""No vacancies"", ""different day"": ""?"", ""shorter stay"": ""?"", ""single night stay available"": ""True"", ""try different day"": ""True"", ""try shorter stay"": ""True"", ""reservation booked"": ""True"", ""reservation reference number"": ""q1bd4pp0"", ""need taxi"": ""True"", ""need taxi for commute"": ""?"", ""arrival time"": ""11:30"", ""departure time"": ""11:30"", ""car type"": ""?"", ""contact number"": ""?""}",missing
"""i need to be picked up from curry prince . please let me know what kind of car to expect and a number they can be reached at .""","""taxi departure""","""curry prince""","{""book taxi"": ""?"", ""destination"": ""Sydney sussex college"", ""need taxi"": ""True"", ""arrival time"": ""12:15"", ""departure time"": ""12:15"", ""pickup location"": ""Curry prince"", ""car type"": ""?"", ""contact number"": ""?""}",slot variant
"""yes please , i would like to book a taxi between the restaurant and theatre .""","""taxi departure""","""cote""","{""cote restaurant info"": ""?"", ""cote address"": ""?"", ""cote booking"": ""?"", ""cote description"": ""Expensive french restaurant in the centre"", ""cote phone number"": ""?"", ""book table"": ""Yes"", ""booking day"": ""Tuesday"", ""booking time"": ""13:00"", ""num people"": ""2"", ""hold table time"": ""15 minutes"", ""need help"": ""True"", ""reference number"": ""idpgs1jz"", ""find something to do"": ""lots of attractions, 44 results in center of town"", ""center of town results"": ""44 results"", ""city attractions"": ""lots of attractions"", ""specific location"": ""?"", ""attraction location"": ""city_centre"", ""theatre in city centre"": ""?"", ""adc theatre"": ""?"", ""cambridge arts theatre"": ""?"", ""cambridge corn exchange"": ""?"", ""mumford theatre"": ""?"", ""theatre city centre"": ""4"", ""address adc theatre"": ""Park street"", ""phone number adc theatre"": ""01223300085"", ""help needed"": ""?"", ""help with anything else"": ""book taxi"", ""taxi booking process"": ""?"", ""taxi destination"": ""restaurant and theatre""}",destination/departure
"""please book me a taxi to come to rajmahal by 22:30 .""","""taxi departure""","""rajmahal""","{""taxi arrival time"": ""22:30"", ""taxi availability"": ""?"", ""taxi destination"": ""Rajmahal""}",destination/departure
"""i will need a taxi from the hotel to the restaurant . i want to leave the hotel by 7:15 .""","""taxi departure""","""bridge guest house""","{""budget preference"": ""cheap"", ""food type"": ""Portuguese"", ""location preference"": ""local"", ""search criteria"": ""local, cheap"", ""preferred food type"": ""?"", ""total cheap restaurants"": ""22"", ""portuguese food"": ""True"", ""book portuguese restaurant now"": ""?"", ""portuguese restaurant count"": ""2"", ""book now"": ""False"", ""phone number"": ""01223327908"", ""postcode"": ""cb23ar"", ""restaurant phone number"": ""01223327908"", ""restaurant postcode"": ""cb23ar"", ""place to stay"": ""?"", ""stay location"": ""east"", ""cheap price range"": ""?"", ""east hotels"": ""5"", ""moderate price range"": ""?"", ""free wifi"": ""Yes"", ""price range"": ""?"", ""star rating"": ""3"", ""hotel -s matching requirement"": ""False"", ""hotel -s with 3 star rating"": ""?"", ""hotel -s with free wifi"": ""?"", ""check south area"": ""?"", ""hotel area"": ""South"", ""hotel price"": ""1"", ""book bridge guest house or lensfield hotel"": ""?"", ""bridge guest house price range"": ""moderate"", ""lensfield hotel price range"": ""expensive"", ""south area hotels"": ""\""bridge guest house\"", \""lensfield hotel\"""", ""book bridge guest house"": ""True"", ""postcode bridge guest house"": ""cb28rj"", ""postcode first part"": ""cb28"", ""postcode second part"": ""rj"", ""leave hotel time"": ""7:15"", ""need taxi"": ""True""}",missing
"""i am coming from the gandhi .""","""taxi departure""","""the gandhi""","{""taxi departure time"": ""15:45"", ""taxi requested"": ""True"", ""coming from"": ""?"", ""willing to help"": ""True"", ""destination"": ""gandhi"", ""origin"": ""gandhi""}",slot variant
"""yes , i need a taxi from the museum by 11:30 to the restaurant .""","""taxi departure""","""museum of classical archaeology""","{""cuisine"": ""indian"", ""ethnicity"": ""indian"", ""location"": ""?"", ""looking for"": ""indian restaurant"", ""indian restaurants cambridge"": ""many"", ""preferred area cambridge"": ""?"", ""preferred area"": ""West"", ""price range"": ""Expensive"", ""west location"": ""?"", ""cocum reservation"": ""?"", ""india house reservation"": ""?"", ""maharajah reservation"": ""?"", ""rice boat reservation"": ""?"", ""tandoori palace reservation"": ""?"", ""west restaurants"": ""5"", ""address"": ""sidgwick avenue"", ""phone number"": ""?"", ""postcode"": ""cb39da"", ""reservation location"": ""cocum"", ""address cocum"": ""71 castle street city centre"", ""phone number cocum"": ""01223366668"", ""postcode cocum"": ""cb30ah"", ""post code cocum"": ""cb30ah"", ""recommendations architecture"": ""?"", ""recommendations same area"": ""?"", ""recommendations town"": ""?"", ""same area recommendations"": ""False"", ""try another area"": ""False"", ""west recommendations"": ""False"", ""open museums near restaurant"": ""?"", ""stay in 1 area"": ""True"", ""more info"": ""True"", ""museum entrance fee"": ""Free"", ""museum location"": ""On sidgwick avenue"", ""museum recommendation"": ""Museum of classical archaeology"", ""museums near restaurant open"": ""7"", ""additional info"": ""taxi_needed"", ""postal code"": ""cb39da"", ""taxi destination"": ""restaurant"", ""taxi location"": ""museum"", ""taxi time"": ""11:30""}",coreference
"""i would like help with a taxi , please . i need to be picked up at museum of classical archaeology and should arrive by 9:00 . can you help ?""","""taxi arrive by""","""09:00""","{""arrival time"": ""9:00"", ""help needed"": ""taxi"", ""pickup location"": ""museum of classical archaeology"", ""taxi assistance"": ""?""}",no domain
"""yes , i will need a taxi for that commute .""","""taxi arrive by""","""17:15""","{""budget"": ""?"", ""looking for"": ""expensive indian restaurant"", ""type of restaurant"": ""expensive indian restaurant"", ""area preference"": ""No preference"", ""recommend area"": ""?"", ""book curry garden"": ""True"", ""restaurant recommendation"": ""curry garden"", ""reservation capacity"": ""8"", ""reservation date"": ""Thursday"", ""reservation thursday"": ""8 people"", ""reservation time"": ""17:15"", ""reservation duration"": ""15 minutes"", ""reservation reference number"": ""s4sixyh7"", ""entertainment attraction location"": ""center area"", ""entertainment attraction type"": ""?"", ""entertainment attraction in center area"": ""False"", ""entertainment venue -s in center area"": ""False"", ""museum location"": ""?"", ""problem"": ""No entertainment venue -s"", ""solution"": ""Museum"", ""museum suggestion"": ""Museum of archaeology and anthropology"", ""museums matching criteria"": ""11"", ""suggested museum"": ""Museum of archaelogy and anthropology"", ""address"": ""University of cambridge, downing street"", ""suggestion"": ""museum of archaelogy and anthropology"", ""help"": ""?"", ""street"": ""Downing street"", ""university"": ""University of cambridge"", ""help with anything else"": ""True"", ""phone number"": ""01223333516"", ""postcode"": ""cb23dz"", ""help museum"": ""?"", ""help other"": ""?"", ""book taxi"": ""True"", ""book taxi location"": ""2 place -s"", ""help with museum"": ""True"", ""arrival location"": ""?"", ""departure location"": ""?"", ""time of travel"": ""?"", ""travel time"": ""?"", ""leaving from museum"": ""?"", ""leaving from restaurant"": ""?"", ""leaving from museum to restaurant"": ""True"", ""need taxi for commute"": ""True""}",coreference
