experiment,i,M,base,pm,lora,q,BS,GAS,GBS,beam,tGPU,gGPU
ValiantFinn,0,h,ExoticCrait/4,13,32,nf4,256,128,6,3,Non,42.
VibrantObiWan,8,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,43.
VibrantObiWan,7,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,43.
VibrantObiWan,6,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,43.
VibrantObiWan,5,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,43.
VibrantObiWan,4,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,43.
VibrantObiWan,3,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,43.
VibrantObiWan,2,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,43.
VibrantObiWan,1,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,43.
UnchartedRex,0,h,AstralPorg/7,13,32,nf4,256,128,6,3,Non,47.
WiseKanan,0,h,UnchartedLandosFarm/3,13,32,nf4,256,128,6,3,Non,43.
UnconquerableAthiss,0,h,UnchartedLandosFarm/3,13,32,nf4,256,128,6,3,Non,43.
TimelessOrdMantell,2,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,52.
TimelessOrdMantell,1,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,52.
UnchartedLandosFarm,11,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,43.
UnchartedLandosFarm,10,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,43.
UnchartedLandosFarm,9,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,43.
UnchartedLandosFarm,8,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,43.
UnchartedLandosFarm,7,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,43.
UnchartedLandosFarm,6,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,43.
UnchartedLandosFarm,5,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,43.
UnchartedLandosFarm,4,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,43.
UnchartedLandosFarm,3,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,43.
UnchartedLandosFarm,2,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,43.
UnchartedLandosFarm,1,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,43.
ThunderousIlum,11,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,42.
ThunderousIlum,10,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,42.
ThunderousIlum,9,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,42.
ThunderousIlum,8,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,42.
ThunderousIlum,7,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,42.
ThunderousIlum,6,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,42.
ThunderousIlum,5,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,42.
ThunderousIlum,4,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,42.
ThunderousIlum,3,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,42.
ThunderousIlum,2,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,42.
ThunderousIlum,1,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,42.
StalwartKijimi,0,h,BewitchingKashyyyk/5,13,32,nf4,256,128,6,3,Non,50.
SpiritedPamarthe,10,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,48.
SpiritedPamarthe,9,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,48.
SpiritedPamarthe,8,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,48.
SpiritedPamarthe,7,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,48.
SpiritedPamarthe,6,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,48.
SpiritedPamarthe,5,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,48.
SpiritedPamarthe,4,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,48.
SpiritedPamarthe,3,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,48.
SpiritedPamarthe,2,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,48.
SpiritedPamarthe,1,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,48.
SpectralManaan,0,h,ThunderousIlum/10,13,32,nf4,256,128,6,3,Non,42.
SpiritedMon,11,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,38.
SpiritedMon,10,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,38.
SpiritedMon,9,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,38.
SpiritedMon,8,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,38.
SpiritedMon,7,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,38.
SpiritedMon,6,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,38.
SpiritedMon,5,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,38.
SpiritedMon,4,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,38.
SpiritedMon,3,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,38.
SpiritedMon,2,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,38.
SpiritedMon,1,h,DazzlingDengar/21,13,32,nf4,256,128,6,3,69.,38.
RogueKiAdi,0,h,ResplendentMace/8,13,32,nf4,256,128,6,3,Non,47.
RogueNevarro,10,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,54.
RogueNevarro,9,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,54.
RogueNevarro,8,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,54.
RogueNevarro,7,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,54.
RogueNevarro,6,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,54.
RogueNevarro,5,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,54.
